DATASET_SYMBOL
#Symbol datasets allow the display of various symbols on the branches of the tree. For each node, one or more symbols can be defined.
#Each symbol's color, size and position along the branch can be specified.

#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_symbols

#dataset color (can be changed later)
COLOR #ffff00

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#


#largest symbol will be displayed with this size, others will be proportionally smaller.
MAXIMUM_SIZE 10


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
#the following fields are required for each node:
#ID,symbol,size,color,fill,position
#symbol should be a number between 1 and 5:
#1: rectangle
#2: circle
#3: star
#4: left pointing triangle
#5: right pointing triangle

#size can be any number. Maximum size in the dataset will be displayed using MAXIMUM_SIZE, while others will be proportionally smaller
#color can be in hexadecimal, RGB or RGBA notation. If RGB or RGBA are used, dataset SEPARATOR cannot be comma.
#fill can be 1 or 0. If set to 0, only the outline of the symbol will be displayed.
#position is a number between 0 and 1 and defines the position of the symbol on the branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)

DATA
I11 1 30 rgba(153,47,75,0.8) 1 0.13 label_I11
I10 3 26 rgba(45,175,35,0.4) 1 0.29 label_I10
I10 3 10 rgba(50,227,253,0.4) 1 0.4 label_I10
I10 5 48 rgba(241,183,147,0.2) 0 0.66 label_I10
229193 2 41 rgba(173,111,45,0.7) 0 0.44 label_229193
229193 3 45 rgba(108,92,213,0.3) 1 0.26 label_229193
229193 3 12 rgba(150,195,52,0.5) 0 0.48 label_229193
229193 1 21 rgba(196,23,135,0.2) 0 0.12 label_229193
229193 4 43 rgba(119,163,97,0.9) 0 0.37 label_229193
I9 4 23 rgba(45,38,45,0.9) 0 0.37 label_I9
I9 1 48 rgba(93,196,115,0.7) 0 0.3 label_I9
187410 2 24 rgba(88,248,175,0.5) 1 0.04 label_187410
187410 5 41 rgba(228,239,15,0.9) 1 0.41 label_187410
187410 3 32 rgba(43,140,226,0.9) 1 0.41 label_187410
187410 3 27 rgba(166,18,198,0.2) 1 0.38 label_187410
187410 1 34 rgba(238,74,19,0.8) 0 0.2 label_187410
632 3 49 rgba(43,182,7,0.4) 0 0.22 label_632
632 5 22 rgba(27,252,196,0.2) 1 0.84 label_632
632 3 33 rgba(190,152,96,0.6) 0 0.34 label_632
141679 3 26 rgba(101,51,145,0.1) 1 0.2 label_141679
141679 3 37 rgba(238,9,242,0.8) 0 0.97 label_141679
141679 3 19 rgba(101,135,32,0.8) 0 0.38 label_141679
141679 1 46 rgba(168,152,91,0.1) 1 0.19 label_141679
141679 4 25 rgba(131,9,141,0.9) 0 0.19 label_141679
I16 2 29 rgba(225,36,49,0.5) 0 0.18 label_I16
I16 5 13 rgba(37,158,78,0.3) 1 0.79 label_I16
I16 3 18 rgba(189,225,8,0.9) 1 0.44 label_I16
I16 5 26 rgba(219,42,236,0.8) 1 0.65 label_I16
I13 4 21 rgba(118,83,74,0.9) 0 0.61 label_I13
I13 2 10 rgba(224,35,190,0.5) 0 0.45 label_I13
I13 1 42 rgba(103,105,109,0.7) 0 0.42 label_I13
I13 2 43 rgba(16,118,120,0.9) 0 0.65 label_I13
I13 4 23 rgba(168,21,145,0.9) 1 0.03 label_I13
203907 1 48 rgba(219,168,170,0.1) 0 0.23 label_203907
203907 3 17 rgba(230,166,199,0.8) 1 0.1 label_203907
36870 4 20 rgba(250,187,209,0.3) 0 0.57 label_36870
I15 4 46 rgba(77,241,186,0.9) 1 0.94 label_I15
I15 5 10 rgba(173,245,121,0.4) 1 0.94 label_I15
I15 4 47 rgba(173,229,151,0.3) 0 0.32 label_I15
135842 1 21 rgba(201,6,242,0.2) 1 1 label_135842
I14 5 34 rgba(10,228,114,0.2) 1 0.69 label_I14
I14 1 18 rgba(190,61,27,0.2) 0 0.54 label_I14
I14 2 38 rgba(228,159,39,0.8) 1 0.19 label_I14
I14 1 42 rgba(100,242,168,0.5) 0 0.79 label_I14
I14 2 23 rgba(195,148,104,0.6) 0 0.69 label_I14
118099 3 45 rgba(172,217,131,0.4) 1 0.58 label_118099
118099 2 30 rgba(47,161,32,0.7) 0 0.13 label_118099
118099 2 47 rgba(217,171,154,0.7) 0 0.14 label_118099
118099 2 19 rgba(182,9,33,0.3) 1 0.22 label_118099
118099 1 32 rgba(95,220,104,0.6) 0 0.41 label_118099
98794 3 40 rgba(248,83,82,0.9) 1 0.88 label_98794
98794 3 27 rgba(41,109,171,1.0) 1 0.55 label_98794
I19 1 16 rgba(63,63,115,0.7) 0 0.56 label_I19
I19 1 26 rgba(143,164,134,0.1) 0 0.92 label_I19
I19 4 34 rgba(217,217,3,0.7) 0 0.4 label_I19
I18 5 45 rgba(129,118,241,0.7) 0 0.27 label_I18
I18 4 22 rgba(92,196,138,0.7) 1 0.64 label_I18
I18 4 13 rgba(230,204,164,0.1) 0 0.32 label_I18
747 1 50 rgba(103,108,54,0.4) 0 0.57 label_747
747 2 15 rgba(198,124,97,0.5) 0 0.42 label_747
747 5 44 rgba(122,214,180,0.9) 1 0.76 label_747
747 2 14 rgba(55,136,197,0.6) 0 0.51 label_747
747 4 15 rgba(127,65,39,0.8) 1 0.73 label_747
727 2 46 rgba(94,22,155,0.5) 0 0.42 label_727
730 2 30 rgba(160,209,11,1.0) 1 0.3 label_730
730 3 16 rgba(139,16,61,0.8) 0 0.19 label_730
730 5 17 rgba(215,24,155,0.2) 1 0.94 label_730
I24 5 45 rgba(218,238,39,0.8) 0 0.7 label_I24
I24 4 14 rgba(62,42,18,0.6) 1 0.1 label_I24
I24 2 34 rgba(3,92,0,0.6) 1 0.7 label_I24
I23 2 30 rgba(45,167,168,0.5) 0 0.78 label_I23
I23 4 18 rgba(161,216,247,0.7) 1 0.01 label_I23
I23 3 45 rgba(74,33,23,0.5) 0 0.6 label_I23
I23 3 35 rgba(173,118,51,0.6) 0 0.9 label_I23
I22 1 30 rgba(32,63,131,0.7) 0 0.27 label_I22
I22 1 39 rgba(221,139,119,1.0) 1 0.89 label_I22
I22 2 47 rgba(24,82,178,0.4) 1 0.02 label_I22
I22 4 47 rgba(200,21,137,0.9) 1 0.44 label_I22
I21 1 49 rgba(160,201,126,0.6) 0 0.38 label_I21
I21 3 16 rgba(222,88,67,0.8) 0 0.25 label_I21
196600 4 15 rgba(145,15,175,0.4) 0 0.37 label_196600
672 1 46 rgba(142,68,218,0.1) 1 0.06 label_672
672 1 43 rgba(179,245,117,0.2) 0 0.28 label_672
670 5 33 rgba(149,213,54,0.2) 0 0.89 label_670
670 1 38 rgba(169,202,243,0.7) 1 0.63 label_670
670 5 14 rgba(255,150,108,0.7) 0 0.18 label_670
670 5 15 rgba(231,124,234,0.5) 1 0.04 label_670
670 5 31 rgba(140,189,35,0.7) 0 0.06 label_670
666 5 29 rgba(239,109,31,0.4) 1 1 label_666
666 5 34 rgba(187,166,87,0.1) 1 0.78 label_666
666 4 13 rgba(0,228,242,0.6) 1 0.93 label_666
666 5 41 rgba(90,47,76,0.8) 0 0.99 label_666
74109 1 48 rgba(157,164,210,0.9) 0 0.59 label_74109
74109 4 37 rgba(214,176,12,0.4) 0 0.8 label_74109
74109 4 18 rgba(194,166,197,0.4) 0 0.67 label_74109
70863 2 43 rgba(41,55,230,0.8) 0 0.54 label_70863
70863 4 10 rgba(61,213,152,0.4) 0 0.91 label_70863
70863 3 38 rgba(245,250,199,0.5) 1 0.85 label_70863
70863 2 26 rgba(96,200,130,0.8) 1 0.52 label_70863
70863 4 46 rgba(244,94,203,0.8) 1 0.17 label_70863
I28 5 12 rgba(218,141,89,0.6) 0 0.27 label_I28
I28 5 38 rgba(59,159,170,0.1) 1 0.42 label_I28
I28 2 23 rgba(226,42,246,0.5) 0 0.34 label_I28
I28 5 50 rgba(41,195,101,0.1) 1 0.94 label_I28
I28 5 11 rgba(22,213,159,0.9) 0 0.31 label_I28
I27 5 14 rgba(173,135,56,0.6) 0 0.95 label_I27
I27 4 33 rgba(157,183,19,0.2) 1 0.46 label_I27
I27 1 16 rgba(89,253,184,0.9) 1 0.7 label_I27
160488 2 30 rgba(41,220,169,0.6) 1 0.88 label_160488
160488 4 24 rgba(183,26,42,0.2) 0 0.83 label_160488
160488 4 49 rgba(145,3,188,0.5) 1 0.45 label_160488
160488 5 49 rgba(167,66,41,0.3) 1 0.14 label_160488
160488 1 50 rgba(185,116,68,0.7) 0 0.8 label_160488
323 1 31 rgba(136,210,148,0.4) 1 0.98 label_323
323 5 45 rgba(180,156,92,0.5) 0 0.94 label_323
323 2 33 rgba(79,34,244,0.1) 0 0.21 label_323
323 2 37 rgba(207,172,28,0.4) 0 0.02 label_323
287 5 46 rgba(37,7,108,0.5) 0 0.56 label_287
287 3 15 rgba(113,96,78,0.9) 1 0.43 label_287
I32 5 25 rgba(219,212,237,0.9) 1 0.35 label_I32
I32 5 36 rgba(75,61,82,0.3) 1 0.95 label_I32
I32 2 27 rgba(105,95,22,0.1) 1 0.02 label_I32
I30 3 48 rgba(231,23,225,0.4) 0 1 label_I30
183190 2 27 rgba(93,124,40,0.2) 1 0.56 label_183190
183190 2 11 rgba(221,206,78,0.3) 0 0.98 label_183190
183190 2 29 rgba(244,230,168,0.7) 0 1 label_183190
2371 4 32 rgba(27,197,97,0.9) 0 0.24 label_2371
2371 1 42 rgba(63,87,244,0.8) 0 0.45 label_2371
2371 2 23 rgba(142,112,63,0.1) 1 0.29 label_2371
I31 4 15 rgba(204,238,19,0.2) 1 0.84 label_I31
I31 1 31 rgba(253,210,33,0.4) 0 0.78 label_I31
92829 2 30 rgba(181,189,71,0.5) 0 0.02 label_92829
92829 2 12 rgba(122,35,192,0.8) 1 0.11 label_92829
92829 1 18 rgba(69,129,87,0.4) 0 0.83 label_92829
340 1 36 rgba(165,20,186,0.2) 0 0.36 label_340
777 3 11 rgba(142,52,96,0.8) 1 0.48 label_777
I41 2 38 rgba(179,84,153,0.7) 0 0.1 label_I41
I41 2 43 rgba(228,40,92,0.6) 0 0.61 label_I41
I41 3 30 rgba(39,73,202,0.4) 1 0.7 label_I41
I41 1 27 rgba(235,33,82,0.9) 0 0.32 label_I41
I41 1 24 rgba(251,154,61,0.9) 0 1 label_I41
I40 3 39 rgba(185,214,188,0.7) 1 0.85 label_I40
I40 4 48 rgba(250,162,149,0.7) 0 0.43 label_I40
I40 3 13 rgba(170,181,19,0.6) 0 0.52 label_I40
I36 5 32 rgba(225,142,224,0.4) 1 0.87 label_I36
I36 3 25 rgba(44,143,181,0.2) 0 0.9 label_I36
I36 3 29 rgba(8,21,97,0.3) 1 0.9 label_I36
I36 4 31 rgba(225,55,241,0.5) 0 0.37 label_I36
I36 1 49 rgba(160,231,165,0.7) 0 0.9 label_I36
I35 5 49 rgba(104,152,113,0.6) 1 0.89 label_I35
65699 3 24 rgba(108,149,121,0.8) 1 0.8 label_65699
65699 4 45 rgba(252,106,148,0.3) 1 0.37 label_65699
491 2 22 rgba(81,68,194,0.4) 1 0.98 label_491
491 5 46 rgba(77,44,80,0.5) 0 0.92 label_491
491 4 33 rgba(169,171,151,0.6) 0 0.7 label_491
536 4 40 rgba(22,148,76,0.1) 1 0.49 label_536
I39 4 18 rgba(15,147,218,0.4) 0 0.95 label_I39
I39 2 24 rgba(241,55,196,0.6) 0 0.86 label_I39
I39 5 17 rgba(202,136,177,0.3) 0 0.52 label_I39
I39 3 15 rgba(124,57,129,0.5) 0 0.85 label_I39
I38 5 20 rgba(212,30,239,0.8) 0 0.81 label_I38
I38 4 31 rgba(241,97,69,0.3) 0 0.09 label_I38
520 4 36 rgba(222,96,149,0.7) 0 0.16 label_520
520 3 46 rgba(246,201,56,0.6) 0 0.79 label_520
I37 4 10 rgba(236,186,180,0.2) 0 0.25 label_I37
I37 2 49 rgba(238,58,211,0.7) 1 0.91 label_I37
519 1 50 rgba(17,244,119,0.7) 0 0.58 label_519
518 4 49 rgba(4,113,82,0.9) 0 0.98 label_518
518 1 42 rgba(105,94,28,0.9) 0 0.21 label_518
518 3 26 rgba(31,171,119,0.1) 0 0.69 label_518
305 1 30 rgba(56,144,141,0.6) 1 0.51 label_305
305 3 22 rgba(188,178,228,0.9) 1 0.92 label_305
915 1 29 rgba(220,238,117,0.1) 0 0.02 label_915
915 4 39 rgba(149,128,116,0.2) 1 0.21 label_915
915 5 45 rgba(216,228,66,0.6) 1 0.85 label_915
915 1 39 rgba(54,74,10,0.8) 0 0.21 label_915
915 5 41 rgba(46,118,145,0.2) 0 0.25 label_915
I53 5 25 rgba(254,171,227,0.3) 0 0.62 label_I53
I50 2 21 rgba(214,204,69,0.2) 1 0.14 label_I50
I50 5 20 rgba(77,52,142,0.5) 1 0.09 label_I50
I50 1 40 rgba(98,32,97,0.3) 0 0.06 label_I50
I50 5 38 rgba(94,94,240,0.6) 0 0.41 label_I50
I50 1 34 rgba(169,132,120,0.7) 1 0.43 label_I50
I49 4 42 rgba(148,240,163,0.8) 1 0.47 label_I49
I49 3 34 rgba(57,34,69,0.7) 0 0.5 label_I49
I47 5 30 rgba(252,75,71,0.3) 0 0.87 label_I47
I47 2 24 rgba(69,138,7,0.3) 1 0.22 label_I47
I47 4 35 rgba(94,31,221,0.5) 0 0.8 label_I47
I47 5 29 rgba(112,135,234,0.8) 0 0.43 label_I47
I47 5 40 rgba(175,248,227,0.2) 1 0.7 label_I47
I44 2 27 rgba(16,145,166,0.3) 0 0.65 label_I44
I44 1 14 rgba(181,129,5,0.2) 0 0.97 label_I44
I44 2 23 rgba(211,37,191,0.7) 1 0.46 label_I44
I44 2 19 rgba(220,255,145,0.8) 1 0.86 label_I44
I44 5 33 rgba(140,0,96,0.5) 0 0.36 label_I44
I43 5 42 rgba(139,68,9,0.5) 1 0.51 label_I43
I43 2 33 rgba(135,101,47,1.0) 0 0.51 label_I43
181661 4 50 rgba(43,153,184,1.0) 0 0.2 label_181661
181661 4 40 rgba(121,28,90,1.0) 1 0.52 label_181661
180835 4 25 rgba(101,148,93,0.5) 0 0.8 label_180835
180835 2 35 rgba(248,56,26,1.0) 1 0.3 label_180835
180835 3 40 rgba(255,8,82,0.4) 0 0.78 label_180835
180835 2 42 rgba(49,63,145,0.3) 1 0.24 label_180835
382 5 14 rgba(151,160,51,0.8) 0 0.68 label_382
382 5 43 rgba(15,59,38,0.9) 0 0.41 label_382
382 4 43 rgba(171,28,17,0.4) 0 0.01 label_382
382 5 42 rgba(183,36,97,0.5) 1 0.4 label_382
382 3 21 rgba(41,53,16,0.6) 0 0.48 label_382
I46 2 14 rgba(212,178,55,0.4) 1 0.3 label_I46
I46 5 40 rgba(242,74,235,0.8) 0 0.09 label_I46
I45 4 48 rgba(66,242,29,0.9) 1 0.41 label_I45
I45 3 13 rgba(105,56,200,0.2) 0 0.2 label_I45
I45 2 45 rgba(213,216,173,0.9) 1 0.3 label_I45
29461 4 17 rgba(29,104,28,0.2) 1 0.25 label_29461
29461 3 46 rgba(129,26,108,0.9) 1 0.83 label_29461
29461 5 22 rgba(255,245,222,0.3) 0 0.55 label_29461
29461 4 31 rgba(14,232,205,1.0) 1 0.91 label_29461
29459 5 22 rgba(191,250,228,0.7) 0 0.05 label_29459
29459 2 26 rgba(226,149,223,0.2) 1 0.62 label_29459
381 3 24 rgba(196,28,243,0.3) 0 0.74 label_381
381 4 10 rgba(47,119,87,0.4) 0 0.39 label_381
I48 3 43 rgba(68,65,236,0.5) 0 0.59 label_I48
I48 4 42 rgba(78,38,149,0.3) 0 0.41 label_I48
1076 4 35 rgba(112,25,201,0.4) 0 0.69 label_1076
1076 4 24 rgba(241,140,72,0.4) 0 0.53 label_1076
1076 4 49 rgba(186,102,116,0.4) 1 0.64 label_1076
375 1 46 rgba(54,184,84,0.7) 1 0.73 label_375
375 3 17 rgba(150,73,12,0.4) 1 0.68 label_375
375 5 47 rgba(146,175,69,0.4) 0 0.21 label_375
155892 3 43 rgba(215,135,1,0.4) 1 0.17 label_155892
155892 2 16 rgba(252,137,11,0.4) 1 0.35 label_155892
I52 1 34 rgba(156,82,82,0.4) 0 0.14 label_I52
I52 5 16 rgba(166,48,30,0.4) 0 0.82 label_I52
I52 4 45 rgba(230,243,164,0.8) 1 0.61 label_I52
I52 1 12 rgba(255,173,24,0.3) 0 0.09 label_I52
66077 2 18 rgba(74,197,60,0.4) 1 0.21 label_66077
I51 5 34 rgba(163,115,92,0.5) 1 0.54 label_I51
I51 4 20 rgba(232,63,125,1.0) 0 0.89 label_I51
I51 5 37 rgba(183,97,64,0.6) 1 0.14 label_I51
I51 2 48 rgba(22,225,228,0.5) 1 0.15 label_I51
I51 4 11 rgba(118,93,207,0.7) 0 0.65 label_I51
782 4 16 rgba(238,162,89,0.1) 1 0.15 label_782
781 3 37 rgba(228,225,44,1.0) 1 0.76 label_781
781 3 31 rgba(84,188,175,0.7) 1 0.27 label_781
781 4 11 rgba(149,213,152,1.0) 1 0.86 label_781
I58 3 23 rgba(215,204,109,0.7) 0 0.99 label_I58
I58 1 28 rgba(89,236,159,0.7) 1 0.03 label_I58
I58 4 38 rgba(222,63,73,0.9) 0 0.26 label_I58
I57 1 24 rgba(112,202,61,0.3) 1 0.13 label_I57
I57 2 41 rgba(81,49,85,0.5) 1 0.96 label_I57
I57 1 27 rgba(95,167,32,0.7) 0 0.87 label_I57
I57 5 24 rgba(117,193,199,0.6) 1 0.01 label_I57
I57 5 25 rgba(65,238,41,0.5) 1 0.25 label_I57
I56 2 40 rgba(146,31,173,0.8) 0 0.89 label_I56
I56 5 41 rgba(5,231,62,0.3) 1 0.33 label_I56
I55 1 12 rgba(162,87,155,0.7) 1 0.94 label_I55
I55 3 45 rgba(210,186,30,0.5) 1 1 label_I55
I55 4 26 rgba(76,47,233,0.4) 0 0.42 label_I55
85963 4 36 rgba(201,144,138,0.5) 0 0.97 label_85963
85963 1 33 rgba(128,15,208,0.9) 0 0.06 label_85963
85963 2 29 rgba(47,230,220,0.4) 1 0.53 label_85963
85963 1 18 rgba(243,130,77,0.1) 0 0.66 label_85963
85963 5 22 rgba(46,86,102,0.1) 0 0.48 label_85963
210 5 11 rgba(186,209,10,0.3) 1 0.01 label_210
210 1 45 rgba(146,238,63,0.3) 1 0.13 label_210
210 4 30 rgba(184,55,57,0.4) 1 0.79 label_210
210 4 38 rgba(79,103,43,0.3) 0 0.36 label_210
210 1 29 rgba(8,196,142,0.9) 0 0.36 label_210
32025 2 45 rgba(248,198,112,0.4) 1 0.69 label_32025
844 4 45 rgba(231,92,26,0.9) 0 0.57 label_844
844 3 22 rgba(162,114,160,0.4) 0 0.14 label_844
197 5 50 rgba(41,97,229,0.2) 1 0.9 label_197
197 3 47 rgba(87,26,110,0.7) 0 0.14 label_197
