DATASET_EXTERNALSHAPE
#Nodes have multiple values associated with them. Values will be displayed as geometric shapes of different size.
#Highest value in the dataset will have the largest size, and all others will be scaled down proportionally.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example shapes dataset

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
#FIELD_COLORS,#ff0000,#00ff00,#0000ff

#field labels
#FIELD_LABELS,f1,f2,f3

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN,0

SHAPE_TYPE,4

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#shape height factor; Default shape height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
#HEIGHT_FACTOR,1

#vertical and horizontal grids can be displayed connecting the shapes
HORIZONTAL_GRID,1
VERTICAL_GRID,1

#horizontal spacing between shape columns
SHAPE_SPACING,10

#if set to 0, only outlines will be shown
COLOR_FILL,1

#if COLOR_FILL is used, this setting can be used to control the color transparency
TRANSPARENT_FILL,1

#if set to 1, actual numeric value will be show in the center of each shape
SHOW_VALUES,1

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
FIELD_LABELS,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14,rl15,rl16,rl17,rl18,rl19,rl20,rl21,rl22,rl23,rl24,rl25,rl26,rl27,rl28,rl29,rl30,rl31,rl32,rl33,rl34,rl35,rl36,rl37,rl38,rl39,rl40,rl41,rl42,rl43,rl44,rl45,rl46,rl47,rl48,rl49
I42,17,23,74,94,69,36,2,75,17,20,24,36,96,48,96,33,80,48,8,87,12,53,42,17,94,88,87,3,20,88,44,30,12,22,60,81,100,82,32,31,91,75,2,58,72,47,44,54,41,9
I34,67,92,65,19,10,29,86,3,59,60,48,90,9,91,79,91,79,31,50,15,30,29,81,70,12,26,27,59,2,6,40,13,87,19,46,69,46,15,89,75,59,86,20,64,16,97,66,23,87,67
I33,10,21,39,22,75,17,35,54,17,46,65,19,39,63,94,37,63,62,39,32,89,46,15,87,2,39,70,46,98,59,68,100,57,69,11,61,83,58,15,18,73,72,46,3,60,55,83,41,92,36
I29,100,74,13,63,91,27,67,60,93,35,36,78,29,97,81,15,48,66,9,67,10,29,70,98,99,93,41,74,68,96,64,97,20,74,57,10,76,33,56,26,89,26,54,36,79,54,0,60,77,2
I26,19,12,49,9,58,68,48,4,20,31,94,36,51,31,81,48,97,78,37,50,48,20,70,84,32,63,13,53,60,87,57,85,4,73,93,3,98,33,44,4,78,75,65,44,60,38,91,26,0,21
I25,96,78,5,55,93,85,98,93,1,53,38,83,77,92,2,4,89,8,3,39,49,91,8,42,20,44,99,52,74,19,76,52,50,99,49,37,78,13,93,99,25,20,80,47,92,51,95,49,36,6
I20,60,63,78,6,13,79,1,16,50,84,29,54,11,60,10,46,29,39,3,85,58,76,61,93,95,68,100,18,65,25,51,54,65,10,26,15,75,99,7,68,20,7,71,46,58,90,62,21,46,82
I17,41,83,28,9,43,93,78,53,37,9,41,22,58,88,15,31,56,55,41,3,89,63,10,25,20,73,84,12,8,19,0,34,33,2,23,19,3,25,61,56,2,41,77,28,26,90,10,98,87,83
I12,25,55,69,89,49,29,29,55,27,35,74,92,38,39,61,20,74,23,93,45,73,38,56,37,99,91,55,88,95,70,11,52,63,28,27,59,42,16,69,43,82,55,10,53,74,82,10,40,76,2
I8,100,37,67,38,63,74,58,27,84,51,100,19,51,59,45,5,9,68,65,65,87,66,73,26,5,37,80,11,74,58,82,53,77,71,100,0,83,66,90,0,47,17,84,29,1,27,31,44,53,9
I5,7,92,35,30,93,24,54,44,73,26,57,100,95,69,29,51,51,46,17,61,98,3,49,84,65,8,31,88,14,73,2,42,26,22,71,14,0,96,30,74,28,51,81,44,20,86,68,90,20,90
I1,94,77,99,23,97,40,45,15,44,81,24,81,80,62,80,21,60,19,74,5,90,16,52,8,32,73,39,5,80,59,87,41,63,28,66,25,5,4,7,6,50,83,60,22,80,2,76,8,23,99
155864,62,21,41,78,91,13,35,5,37,36,39,96,98,78,32,84,30,88,2,92,90,39,27,51,3,21,83,28,80,93,46,4,16,99,61,57,8,15,61,87,93,90,35,22,17,20,17,15,60,86
83334,40,55,73,81,47,92,23,73,66,46,75,68,20,76,43,29,37,52,55,97,85,15,72,6,39,29,84,56,9,86,38,75,7,39,49,92,34,81,4,43,60,32,39,43,90,10,43,98,100,49
I4,33,41,82,54,46,93,87,77,95,71,41,55,73,29,26,100,23,54,41,0,7,50,57,86,6,96,7,83,90,6,27,53,51,36,12,10,55,81,85,20,68,34,47,88,96,11,91,70,22,88
I2,86,94,96,100,53,96,91,65,71,69,40,28,35,22,89,30,79,98,12,35,81,8,91,47,81,99,39,2,25,88,54,50,48,36,48,32,22,40,62,16,29,73,40,42,61,34,79,44,17,49
217992,57,72,74,56,87,76,72,37,76,9,33,16,78,67,58,24,87,25,13,27,32,76,10,8,79,57,51,40,60,61,93,18,74,24,45,24,69,4,1,69,12,99,94,67,30,67,59,24,38,1
562,79,48,99,54,30,82,65,1,13,83,71,79,13,76,73,98,41,31,25,36,59,7,5,80,48,38,48,19,82,44,24,64,74,95,2,100,3,56,47,94,55,8,28,27,9,4,22,77,74,90
I3,38,42,56,99,91,19,44,20,0,100,59,49,73,77,44,23,95,78,14,88,49,52,67,23,32,27,95,29,24,10,80,100,86,3,98,51,78,10,66,40,54,86,39,12,23,12,8,30,79,89
198215,6,29,98,65,26,61,80,23,39,71,79,67,80,74,60,3,28,30,80,34,16,84,19,7,7,64,29,24,29,77,18,81,30,5,97,69,71,47,94,95,2,62,72,68,0,29,36,43,23,4
623,44,19,75,74,56,80,41,35,42,74,97,58,4,2,29,7,21,72,73,13,44,13,84,60,40,56,29,66,58,74,58,94,11,44,14,21,96,83,47,99,67,24,97,66,61,25,68,23,45,54
I7,40,61,23,62,25,100,58,10,51,87,23,41,51,16,76,4,2,53,49,45,58,48,65,26,91,39,11,7,78,58,5,87,97,76,59,78,7,27,83,99,34,47,48,16,78,1,3,63,85,34
I6,97,26,2,87,87,39,66,74,10,6,48,63,2,93,40,73,89,21,68,55,66,83,24,25,79,89,19,50,40,41,17,61,36,58,94,27,28,25,49,63,98,82,57,57,49,48,90,73,99,52
209261,95,13,16,87,9,4,40,28,61,58,44,29,44,6,62,92,35,57,33,6,42,53,17,76,9,7,26,94,18,5,91,89,24,88,0,48,9,47,27,35,94,92,34,76,57,74,89,85,89,7
601,22,89,91,89,80,43,93,12,46,33,41,39,63,26,44,93,3,65,86,93,82,63,40,54,46,66,46,67,80,73,82,8,26,58,54,24,7,79,32,22,88,82,19,28,34,95,94,58,89,76
602,37,14,81,19,42,77,46,39,44,57,34,68,1,60,38,72,0,22,76,36,33,87,49,65,18,90,6,15,78,11,21,99,77,56,72,10,19,82,54,1,97,59,69,44,5,65,89,30,48,8
I11,8,37,50,26,63,78,69,77,67,81,73,65,48,46,20,79,81,83,51,22,92,13,38,79,93,37,27,78,31,57,36,16,77,59,64,16,91,50,2,88,84,47,69,84,48,66,9,19,70,51
I10,16,79,99,84,87,16,53,22,85,3,59,75,44,31,10,57,2,40,89,40,100,61,43,60,75,5,14,27,91,92,67,39,7,97,29,68,23,11,30,91,85,95,33,46,28,32,23,3,14,58
229193,80,95,65,99,96,50,61,38,56,88,32,66,99,56,66,24,82,24,83,61,90,2,62,25,88,37,97,55,95,97,16,63,25,68,21,93,95,70,17,61,48,52,63,70,90,22,9,28,88,23
I9,58,71,54,75,47,55,59,16,12,69,87,86,64,42,40,25,77,29,17,89,61,68,25,68,62,88,7,19,83,30,85,96,31,40,44,66,31,7,26,27,71,73,42,61,96,46,67,84,6,23
187410,86,44,5,27,4,29,11,46,79,7,3,84,1,60,49,71,48,74,63,41,0,32,9,2,0,9,35,60,17,73,21,78,98,95,83,94,39,64,16,37,30,1,49,27,68,64,24,51,61,15
632,2,100,51,82,35,94,16,70,63,51,70,93,72,68,72,82,66,94,88,57,49,32,16,30,27,3,44,55,27,91,63,89,4,88,22,42,45,54,53,69,47,66,20,34,17,8,16,59,41,33
141679,35,96,65,29,97,5,37,9,64,18,29,3,26,80,88,60,59,19,9,29,6,34,35,48,11,91,14,77,60,40,33,20,50,95,79,32,21,40,84,65,20,42,38,30,85,6,33,41,56,63
I16,71,59,46,98,0,85,70,10,66,10,7,63,78,91,83,51,59,76,66,99,49,87,93,41,75,75,56,60,94,51,5,97,25,71,85,70,54,26,66,71,81,2,95,7,38,80,77,0,62,63
I13,54,0,58,17,19,49,93,69,15,34,80,34,85,48,78,15,23,62,20,7,4,28,35,80,17,45,55,4,37,15,35,25,66,51,99,25,43,15,83,67,52,65,25,87,44,26,86,44,99,63
203907,46,28,30,51,78,71,46,41,73,82,24,81,31,65,39,38,24,46,91,89,64,15,80,96,87,10,4,32,7,97,12,37,0,43,24,85,4,93,63,99,97,92,95,95,33,77,47,84,85,20
36870,79,18,88,65,47,33,67,78,47,97,94,36,64,51,9,37,48,41,4,62,54,38,99,88,78,35,75,32,91,71,68,34,3,36,91,48,86,72,8,40,53,70,44,96,50,13,5,56,38,48
I15,37,81,25,28,71,99,17,37,54,52,20,4,10,10,39,32,65,59,61,30,48,52,19,58,14,95,87,65,85,36,95,42,34,31,49,94,45,11,70,76,42,66,82,63,91,53,7,56,99,47
135842,60,83,76,22,81,16,59,10,35,6,79,4,45,64,35,85,27,61,6,77,70,71,90,91,77,17,3,17,28,63,70,97,40,96,82,38,56,16,1,60,26,49,49,0,61,80,100,86,29,98
I14,18,96,68,61,46,37,62,83,68,92,28,90,42,42,66,67,8,85,0,56,60,59,34,64,97,76,56,46,2,41,90,27,7,81,29,64,14,18,98,78,15,34,59,83,3,64,50,45,49,73
118099,50,2,43,59,19,77,9,92,75,34,75,0,16,24,97,82,43,32,12,8,74,76,8,96,39,22,62,68,23,27,78,38,66,51,41,17,48,94,44,94,8,34,81,21,24,3,32,45,62,77
98794,45,58,3,49,17,88,25,60,66,49,44,56,15,13,48,83,9,15,90,10,9,14,69,2,14,4,99,72,71,12,64,71,75,68,24,55,62,96,89,53,38,43,12,1,80,45,84,20,23,20
I19,68,75,5,11,20,40,39,89,44,93,53,16,55,38,94,26,78,33,75,67,3,96,64,7,2,25,12,13,69,15,15,82,67,53,61,79,51,89,71,74,60,58,20,26,14,26,28,92,79,30
I18,88,22,7,17,32,70,40,63,43,28,82,81,61,80,25,35,75,14,98,58,39,18,81,42,15,3,17,23,62,2,83,67,14,22,23,21,65,64,43,11,38,66,51,92,91,62,22,38,26,57
747,80,19,22,56,50,80,8,38,35,99,72,52,44,95,4,36,41,74,95,68,28,9,68,85,57,35,22,12,10,61,43,15,99,9,82,19,47,69,69,26,23,57,36,14,0,79,82,8,32,62
727,46,94,78,14,56,0,8,42,84,46,4,93,74,76,96,40,2,17,18,56,6,94,53,34,8,48,95,40,33,44,9,5,74,76,70,73,51,16,52,93,43,58,94,20,76,86,30,34,72,17
730,79,8,30,11,63,50,36,69,41,48,76,95,72,66,78,83,84,82,28,95,28,26,30,43,46,53,65,70,82,20,82,90,69,93,48,57,42,11,23,96,73,68,74,76,62,28,98,30,6,10
I24,2,38,94,97,96,100,83,71,96,21,82,43,16,70,12,74,92,28,12,32,4,61,7,60,68,68,90,52,72,29,38,6,90,33,32,50,9,30,46,61,34,37,46,70,47,3,34,98,48,3
I23,61,68,57,64,95,37,47,14,68,68,97,69,57,76,40,17,42,42,70,24,31,32,77,69,88,72,56,84,89,13,66,2,87,73,8,32,80,33,12,21,17,88,73,82,46,7,80,93,46,62
I22,64,88,34,52,33,88,50,5,51,43,68,83,42,46,84,16,18,57,97,41,66,49,2,59,97,97,51,98,33,89,12,90,7,88,52,82,10,62,74,2,7,19,90,74,59,41,90,98,86,51
I21,61,50,49,43,29,53,37,6,79,15,99,15,17,91,41,81,8,11,88,66,51,68,85,25,27,59,34,55,68,21,74,48,79,70,92,88,45,95,71,26,69,65,34,81,61,68,67,69,31,38
196600,6,74,40,90,41,22,66,18,58,7,95,82,96,53,97,96,93,21,10,95,63,37,85,49,40,37,56,92,54,26,73,74,13,76,11,72,15,8,3,14,65,59,54,65,49,28,44,60,44,45
672,81,58,5,72,6,33,67,80,84,12,45,90,89,88,58,10,15,65,33,1,64,57,97,28,45,29,16,22,22,38,68,92,28,30,69,88,58,36,32,20,13,28,88,65,40,61,93,34,72,55
670,4,41,6,40,29,42,100,78,74,96,74,88,46,21,80,65,27,66,40,81,48,88,0,25,63,61,33,45,26,68,10,97,38,29,65,31,0,70,18,36,7,57,95,90,55,19,6,69,86,94
666,0,70,36,78,80,14,51,87,22,38,63,53,37,65,78,43,9,90,97,31,55,94,14,49,32,60,41,80,81,96,80,80,72,13,22,38,25,33,27,97,18,42,72,7,61,39,52,44,88,32
74109,26,22,1,46,53,34,86,23,42,77,20,53,63,75,51,6,24,34,57,40,46,29,43,87,16,0,6,51,80,100,60,43,77,43,55,6,40,52,7,51,47,40,95,11,6,98,93,63,18,59
70863,46,91,18,41,99,7,38,22,43,49,44,47,70,98,2,21,6,78,57,85,82,2,73,77,97,1,37,85,17,34,20,73,65,56,76,24,41,42,86,29,70,6,11,55,39,17,55,69,48,70
I28,23,66,22,31,64,62,51,35,68,59,78,34,82,79,36,22,12,94,37,80,78,29,72,58,94,55,11,71,29,9,100,94,54,94,11,29,7,3,92,43,27,45,82,58,69,12,46,45,42,98
I27,57,63,50,57,94,14,13,0,12,25,28,98,58,57,39,27,23,50,46,46,64,15,89,17,56,6,18,44,48,16,90,32,86,70,21,91,57,28,92,36,4,18,76,87,70,53,59,85,91,52
160488,36,70,7,85,63,51,31,57,60,48,56,14,39,67,68,80,24,59,41,47,40,31,0,35,15,92,38,87,9,17,22,78,53,40,24,65,83,86,92,91,84,28,79,75,64,69,3,12,45,48
323,6,53,47,75,16,75,85,76,48,45,96,78,75,3,42,67,79,46,43,2,98,78,70,56,38,30,28,47,25,98,13,81,23,12,74,37,54,34,54,10,13,30,64,20,96,75,85,75,85,33
287,8,91,61,14,86,91,27,6,100,46,0,8,93,13,16,71,7,16,31,68,67,12,59,26,52,69,19,2,39,23,78,42,68,60,75,19,1,96,27,19,72,53,42,47,37,82,93,92,100,43
I32,21,85,96,62,33,72,18,15,98,65,84,74,14,74,67,33,72,71,34,62,72,63,14,27,25,35,3,92,68,2,84,52,21,76,9,81,10,100,83,94,17,53,34,2,45,4,83,6,8,38
I30,42,14,71,83,39,11,46,55,81,34,44,58,28,64,62,70,98,39,64,38,91,32,82,98,73,49,15,35,69,92,81,83,22,61,66,39,40,77,70,9,94,39,2,54,89,35,15,64,18,67
183190,25,53,68,70,40,36,7,73,48,87,37,32,90,34,60,7,31,61,9,53,60,66,55,21,67,36,58,40,93,14,7,87,97,16,99,56,81,17,85,25,86,24,1,95,37,67,98,37,25,40
2371,90,47,28,63,88,22,9,70,45,91,87,2,71,73,53,14,22,40,1,48,45,43,45,8,61,88,36,9,92,50,83,21,3,20,59,9,60,3,11,6,58,75,59,3,57,11,12,78,11,49
I31,16,96,85,17,82,82,97,87,77,2,90,4,62,72,67,86,73,91,81,73,46,28,77,63,43,29,21,76,53,87,1,81,13,93,85,82,79,34,53,46,80,11,3,52,53,83,20,23,8,95
92829,78,4,20,6,59,53,0,27,31,44,34,99,6,89,89,30,16,4,80,92,15,2,51,35,86,38,22,17,71,8,79,55,41,47,92,78,71,56,32,9,25,59,0,46,67,72,97,81,58,62
340,3,64,88,24,66,28,55,5,20,24,98,33,56,63,75,94,95,98,20,69,47,39,13,22,27,18,18,29,27,84,96,9,34,65,90,45,66,46,4,34,45,14,73,23,48,90,2,62,28,85
777,32,78,63,67,26,1,7,29,15,88,10,31,31,95,86,7,46,30,41,5,76,85,63,17,49,14,72,61,95,47,30,95,36,5,21,50,18,61,6,85,84,95,32,94,35,49,5,71,74,0
I41,84,53,97,61,69,43,70,8,20,44,58,22,2,67,78,79,68,31,85,32,20,97,1,20,89,74,21,29,74,38,27,35,47,87,93,46,43,83,31,11,2,36,58,44,78,51,74,47,89,90
I40,96,81,23,90,76,34,70,77,87,55,91,57,24,42,51,52,87,67,96,85,81,46,92,86,12,70,10,55,94,56,19,2,7,75,14,17,90,60,64,65,33,17,45,60,82,34,18,73,97,51
I36,28,92,34,71,9,81,87,14,66,95,33,53,14,63,81,88,71,16,83,86,51,20,2,55,1,67,76,41,60,28,91,7,7,96,98,63,11,72,37,42,98,7,13,26,37,88,67,36,7,61
I35,17,55,45,95,51,7,56,42,61,69,19,63,95,22,38,69,64,17,75,70,56,87,25,30,83,55,12,50,40,82,8,91,34,23,31,11,19,88,4,32,10,55,95,71,44,36,1,21,65,35
65699,65,90,73,24,61,93,98,69,53,76,74,25,12,35,55,52,13,38,9,26,58,92,60,24,42,94,41,27,19,26,7,14,84,44,42,77,26,77,92,70,40,38,90,42,17,45,5,97,16,22
491,2,23,65,40,17,28,53,6,5,83,49,55,31,60,4,48,43,41,21,11,80,20,78,61,12,22,38,32,4,45,57,73,93,37,7,29,8,60,34,53,0,46,60,60,24,50,71,50,47,54
536,95,34,74,37,6,100,88,97,72,50,48,93,43,61,13,53,32,55,45,17,70,22,34,32,73,52,75,52,0,10,30,19,85,1,54,9,40,75,36,83,70,93,40,61,93,63,0,33,23,14
I39,74,48,81,94,52,39,45,41,30,35,79,18,75,23,19,4,40,60,14,52,21,23,8,7,90,90,93,29,84,58,57,30,16,96,21,99,65,14,3,35,43,57,38,53,63,92,0,6,44,38
I38,30,76,44,39,1,65,26,34,76,85,37,78,1,95,23,5,78,68,48,69,55,28,12,9,89,46,82,53,71,14,34,56,63,8,3,100,55,21,82,94,91,31,88,4,25,43,92,23,99,0
520,51,13,46,9,59,33,92,77,71,4,33,64,64,86,56,50,82,23,28,37,30,68,80,68,27,37,24,97,12,12,96,88,95,72,30,84,46,68,46,33,67,0,3,7,82,80,75,60,95,68
I37,32,55,23,27,55,68,34,31,44,29,46,93,76,76,29,20,31,11,46,51,50,0,31,70,14,54,47,43,56,8,87,13,5,41,60,80,55,47,5,47,12,58,45,77,70,4,74,80,98,49
519,4,54,30,0,84,73,77,5,91,31,45,12,74,52,79,55,20,39,7,89,89,66,58,3,59,56,10,10,21,8,36,60,97,40,53,46,8,98,81,88,40,32,69,42,71,2,8,50,36,46
518,18,81,78,2,95,66,19,49,91,56,41,31,19,5,70,93,92,11,33,58,43,34,40,23,66,84,59,61,20,14,56,5,54,22,61,55,71,76,43,67,12,17,64,44,72,9,68,11,76,67
305,98,27,9,77,100,62,60,48,96,82,99,32,95,63,18,57,1,92,28,47,27,90,6,30,39,5,7,68,95,48,57,86,99,85,100,82,23,29,86,75,0,53,41,96,99,100,36,99,61,25
915,38,25,9,87,50,56,57,63,56,4,81,81,35,5,35,29,43,82,96,0,14,95,26,33,100,88,37,93,13,82,7,59,7,53,7,58,79,87,48,8,83,77,13,57,93,89,87,89,37,29
I53,92,23,89,11,40,82,22,24,24,11,95,39,47,100,1,6,12,94,17,78,69,4,86,9,17,60,81,62,92,78,72,99,61,76,71,96,46,82,86,99,84,50,40,49,96,70,55,96,80,22
I50,28,6,0,39,9,33,78,76,42,29,43,73,80,67,18,64,99,72,33,46,77,74,64,51,8,87,46,92,39,65,100,63,28,6,2,0,62,8,49,66,69,91,9,65,22,79,100,37,31,29
I49,2,95,97,60,60,60,89,40,8,67,21,8,83,76,11,25,31,29,76,35,23,38,42,8,19,19,36,64,42,47,82,43,27,13,53,11,16,76,100,64,75,97,6,37,46,11,70,10,85,63
I47,89,46,99,85,72,13,38,37,39,71,9,40,88,56,9,39,16,4,29,23,88,10,37,98,9,96,68,54,56,0,38,36,72,79,46,91,71,44,87,25,42,93,81,16,56,38,28,65,98,68
I44,1,8,38,25,44,14,90,34,51,45,97,27,45,20,23,18,43,89,53,87,50,24,15,50,76,1,50,16,92,3,94,40,8,36,98,93,47,74,83,49,78,95,21,51,58,89,60,61,75,35
I43,26,90,86,75,40,5,60,10,17,95,1,97,74,66,92,36,66,28,52,21,9,73,2,82,76,66,79,41,16,33,100,22,43,80,23,14,27,35,40,10,1,71,5,84,83,64,51,6,33,12
181661,88,94,100,65,0,8,58,0,58,20,45,22,96,39,13,79,11,34,5,39,5,69,56,94,69,84,10,90,54,40,27,46,48,62,100,37,46,73,17,37,93,67,32,87,8,43,4,48,8,47
180835,41,74,68,18,9,34,84,47,21,9,26,67,20,46,82,28,9,94,10,24,46,72,92,99,94,75,65,10,62,76,11,14,73,69,4,75,46,40,36,76,31,54,44,72,26,77,83,47,39,41
382,14,18,74,42,98,75,23,53,70,34,24,40,19,44,89,41,2,67,28,37,26,79,62,68,55,74,0,76,85,12,37,7,20,36,22,49,83,18,54,20,3,19,92,78,80,27,92,20,7,2
I46,35,100,48,67,84,42,2,19,25,9,82,1,61,81,60,97,22,34,81,36,42,78,18,93,4,27,2,73,6,69,63,6,27,30,93,57,47,40,61,30,100,16,29,52,52,1,2,19,68,52
I45,8,55,50,49,32,60,6,49,6,30,86,63,60,14,38,77,68,9,89,49,62,42,53,4,20,57,31,62,78,90,80,96,96,51,5,84,78,99,76,91,0,89,12,47,11,84,100,79,19,34
29461,92,56,99,37,79,51,84,78,37,81,1,25,13,48,26,10,9,40,8,40,45,74,64,19,62,25,53,20,99,60,50,71,80,96,97,84,14,99,38,82,61,76,92,87,11,34,87,95,74,61
29459,96,23,80,67,96,90,53,22,22,30,19,80,36,96,60,64,67,68,32,26,8,12,100,20,10,100,47,25,31,32,8,32,14,21,59,98,75,26,48,62,84,49,80,100,11,3,97,12,100,19
381,3,43,10,9,92,43,94,41,85,62,34,20,54,68,67,25,94,26,9,21,80,75,50,47,37,84,6,12,76,73,44,11,38,11,22,31,78,51,83,28,60,23,29,40,55,5,26,39,59,76
I48,80,57,54,16,76,42,9,16,47,96,20,40,98,65,82,44,19,14,59,18,2,73,75,53,80,98,71,97,87,36,77,77,30,70,80,72,87,66,50,31,41,88,79,0,26,64,45,96,17,27
1076,58,20,47,12,11,80,70,39,84,49,97,88,10,61,27,80,78,3,34,41,69,70,79,90,25,21,73,4,8,86,45,37,61,49,49,16,36,55,0,20,53,55,80,34,80,94,93,83,98,88
375,22,81,97,50,40,30,70,4,64,18,97,80,32,37,75,79,72,73,55,83,50,22,85,98,16,94,58,2,55,5,41,30,99,41,32,86,92,35,70,9,70,100,84,15,61,82,43,15,16,18
155892,52,36,7,60,60,21,58,15,38,64,98,44,46,9,47,16,23,90,76,9,13,0,4,92,83,30,42,46,59,59,70,23,54,70,26,94,10,2,24,31,81,59,23,88,42,69,13,67,24,89
