DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,0.5

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14,rl15,rl16,rl17,rl18,rl19,rl20,rl21,rl22,rl23,rl24,rl25,rl26,rl27,rl28,rl29,rl30,rl31,rl32,rl33,rl34,rl35,rl36,rl37,rl38,rl39,rl40,rl41,rl42,rl43,rl44,rl45,rl46,rl47,rl48,rl49
I42,7,632,815,397,939,723,579,236,429,222,169,525,589,835,608,576,125,348,606,438,518,980,794,315,317,749,113,790,196,986,999,477,956,378,30,588,995,199,313,146,71,911,709,838,505,843,69,276,485,987
I34,498,400,828,327,680,97,86,698,286,353,223,434,57,971,921,577,820,719,920,149,177,569,110,259,272,678,775,858,186,46,864,507,569,541,759,592,341,417,28,135,318,839,955,102,90,944,661,748,336,411
I33,140,687,153,740,164,284,349,939,791,864,732,846,333,778,937,505,952,774,219,722,966,461,159,922,82,635,152,37,445,719,406,684,207,530,3,13,417,474,804,175,676,59,73,89,930,28,618,237,943,531
I29,254,738,240,519,3,120,888,555,29,754,404,319,20,730,167,868,738,429,255,371,168,339,67,590,712,578,291,847,394,501,944,361,763,440,282,967,14,26,470,48,138,641,160,862,150,10,656,743,957,627
I26,951,154,386,508,469,671,55,785,593,958,418,842,639,140,92,948,692,172,787,549,583,740,247,699,632,877,659,223,790,566,717,396,633,305,868,888,191,625,259,745,170,374,438,400,430,917,962,317,207,945
I25,994,212,301,398,288,420,287,256,417,889,130,174,718,50,616,630,958,679,854,604,31,706,358,418,566,694,453,142,346,352,755,814,255,481,202,513,689,547,876,389,531,568,174,333,268,595,310,619,433,230
I20,959,116,426,727,201,938,735,117,105,279,260,829,516,651,721,682,296,161,120,835,123,668,563,18,569,278,27,132,627,965,446,96,375,979,7,879,618,468,113,245,821,237,988,606,388,526,618,623,592,238
I17,321,382,463,444,472,73,964,345,31,758,543,329,24,117,430,450,928,338,388,311,480,53,261,642,826,867,269,937,527,28,735,638,555,504,224,280,601,471,499,379,880,349,85,893,484,382,223,750,16,167
I12,904,184,176,787,575,727,635,777,693,410,630,94,992,123,804,655,468,781,24,427,584,56,511,407,511,568,314,249,652,434,27,307,669,925,921,769,410,638,89,123,948,281,549,647,966,157,173,996,560,981
I8,595,400,879,438,449,412,678,216,468,67,748,806,845,854,121,160,676,697,135,74,468,335,951,180,542,329,674,586,925,37,792,708,159,731,26,964,589,131,998,804,142,578,388,308,791,806,846,557,218,985
I5,968,704,917,604,154,743,30,719,814,825,228,57,11,12,520,207,569,232,137,531,873,224,434,194,955,930,87,610,24,865,50,554,616,95,260,368,329,902,477,254,74,393,838,931,424,532,246,846,116,509
I1,105,631,457,635,959,935,207,317,132,411,636,42,740,126,18,425,650,853,411,572,681,845,114,266,245,320,153,665,602,363,647,689,228,138,191,835,900,903,511,428,898,399,392,823,590,247,219,186,781,569
155864,820,514,286,555,909,663,949,948,929,635,330,806,501,230,271,294,120,151,145,918,795,7,324,784,274,384,987,486,376,365,134,858,616,500,996,848,918,803,99,731,810,840,139,828,469,730,35,43,473,588
83334,531,107,82,5,54,920,573,940,728,797,818,594,661,535,350,528,94,932,161,382,196,148,576,34,727,253,953,948,398,240,205,626,967,976,808,520,127,32,17,310,961,443,502,739,415,600,239,412,826,313
I4,72,795,237,518,336,807,988,451,900,344,362,63,979,163,747,475,733,283,343,625,909,868,840,338,702,860,823,902,49,469,98,88,985,96,608,169,561,868,743,869,744,729,58,317,221,576,586,572,967,500
I2,173,753,258,440,911,841,19,609,135,341,314,585,535,784,380,985,827,846,647,107,34,734,480,148,687,56,335,480,862,402,809,158,63,128,687,54,479,158,442,342,802,515,79,622,522,792,345,865,538,748
217992,436,971,906,758,212,145,495,521,922,283,270,259,541,364,39,507,614,582,952,822,619,841,659,831,30,781,991,838,549,798,75,970,478,898,304,153,985,667,531,441,38,502,94,797,407,200,456,780,397,557
562,209,124,821,811,580,737,598,238,769,508,289,793,660,736,637,597,57,639,384,678,45,144,407,211,616,78,593,617,228,513,36,64,133,146,40,8,381,344,477,434,865,422,558,174,193,716,521,962,998,211
I3,193,381,301,48,238,396,269,871,362,58,224,294,894,194,559,865,664,591,167,891,210,688,698,919,350,739,359,483,915,277,349,80,513,720,415,864,502,706,890,22,603,2,934,218,877,558,642,750,802,797
198215,585,679,272,612,245,434,594,86,648,790,517,922,220,813,977,42,245,612,744,619,149,265,343,884,333,118,381,226,314,42,353,69,870,601,40,171,321,930,969,873,904,681,782,668,204,389,576,567,36,340
623,414,364,875,217,657,642,520,239,538,912,278,987,234,460,643,797,403,237,796,601,833,57,868,276,916,573,548,691,299,128,705,989,94,377,115,462,921,456,950,809,285,278,218,620,775,229,653,219,838,160
I7,413,425,386,651,965,235,465,5,936,868,195,546,123,367,772,605,165,954,248,4,148,120,806,264,232,932,487,342,606,48,832,902,614,159,669,360,730,59,284,822,427,313,939,815,884,573,853,705,276,681
I6,611,460,497,874,571,967,866,553,864,52,444,177,682,261,0,991,156,462,147,394,515,241,0,642,207,69,872,901,36,28,427,486,243,191,893,677,15,9,836,571,273,59,216,978,813,498,474,639,536,677
209261,500,692,597,637,929,106,723,980,769,878,842,297,870,504,431,558,911,956,45,530,90,82,814,765,715,73,893,488,389,272,870,578,806,352,906,632,350,54,584,617,624,653,929,330,595,218,831,600,528,766
601,912,935,588,286,824,355,636,637,858,110,82,333,595,528,759,302,952,397,637,914,721,426,552,881,721,328,236,309,824,916,766,500,907,778,611,339,354,888,606,288,674,641,840,134,966,233,479,978,581,822
602,260,834,277,403,782,213,863,782,822,531,593,529,435,968,959,946,596,228,708,81,264,979,221,995,782,265,386,241,759,226,454,195,426,364,611,879,962,957,347,525,116,460,175,646,361,145,79,460,978,836
I11,885,462,885,590,251,175,354,788,875,270,473,34,720,87,863,996,561,241,487,489,310,879,0,103,691,4,219,682,277,822,191,661,668,141,387,563,632,375,713,423,479,524,89,275,300,526,838,57,134,207
I10,452,366,445,875,143,113,335,764,759,450,361,9,526,479,498,623,662,352,694,146,725,437,448,887,171,49,483,888,149,987,620,564,405,683,212,583,282,497,122,759,571,37,108,760,195,632,966,221,913,884
229193,490,520,57,606,722,861,600,319,705,495,294,581,20,736,22,161,260,606,400,603,425,54,5,19,114,30,229,491,633,131,890,511,278,191,957,819,538,565,132,31,419,679,259,252,168,328,514,877,50,385
I9,176,131,605,827,630,307,460,478,418,499,586,112,823,41,894,885,132,582,831,5,244,17,359,267,872,39,445,783,469,941,177,286,996,530,581,669,457,763,646,600,122,12,528,317,502,204,208,976,166,532
187410,881,922,417,560,752,813,801,209,338,556,151,903,469,437,146,348,542,12,265,609,317,663,633,656,166,15,424,786,641,571,643,68,760,143,71,741,756,526,402,109,541,546,378,441,409,543,507,581,467,420
632,340,411,175,367,948,894,740,150,822,604,795,40,226,665,281,399,248,37,569,778,297,679,479,409,127,140,520,487,672,463,146,502,65,248,555,51,894,574,136,646,372,568,248,791,899,893,473,632,183,887
141679,981,96,160,625,160,51,14,956,825,414,697,186,440,156,428,605,148,517,856,904,854,858,416,946,501,117,199,595,594,970,274,111,870,506,150,962,587,768,703,744,806,923,90,771,992,359,205,897,198,939
I16,469,218,120,598,967,730,713,627,569,50,405,327,135,476,958,256,392,234,867,444,551,951,926,860,949,382,902,355,13,808,20,773,26,252,30,976,823,330,553,428,295,938,431,228,594,831,917,873,580,156
I13,84,558,366,483,508,863,498,1000,600,712,516,91,143,179,357,85,589,130,619,566,492,793,92,393,754,98,940,850,484,364,143,573,626,299,464,668,641,515,396,160,215,521,896,681,287,411,846,211,715,202
203907,920,986,359,365,737,966,451,882,948,307,466,397,341,404,572,903,971,300,313,50,237,61,178,652,252,656,331,325,109,688,342,972,115,50,408,291,567,308,795,573,230,85,708,562,415,313,588,292,49,240
36870,746,743,136,900,970,179,579,196,157,100,232,885,106,364,271,324,4,184,866,487,464,233,950,48,919,113,159,173,808,902,392,812,130,290,302,586,252,508,820,680,105,647,187,820,70,732,166,204,685,509
I15,695,882,645,145,199,355,866,435,985,420,286,309,42,339,943,167,242,787,40,965,111,205,235,344,546,432,780,653,560,248,418,20,959,393,519,260,92,310,684,999,718,800,532,41,88,886,30,203,294,136
135842,420,913,800,514,199,852,611,82,213,858,791,427,217,345,32,44,234,257,646,628,37,109,66,899,921,57,448,88,685,325,750,276,593,8,346,298,507,32,842,928,360,101,803,948,770,995,372,513,227,817
I14,306,956,97,529,472,460,658,983,479,903,126,430,35,115,315,634,481,965,387,483,467,768,725,635,652,454,387,837,308,935,542,214,444,744,922,991,471,97,786,758,346,357,578,927,891,903,539,161,754,574
118099,158,868,168,86,684,768,406,623,794,950,400,962,585,860,333,135,827,506,285,303,4,646,657,848,71,500,905,136,482,197,773,442,442,347,907,277,24,615,481,698,250,108,30,661,897,838,915,848,271,999
98794,30,976,995,404,38,967,248,342,294,916,226,921,710,128,9,552,29,748,62,159,982,805,79,171,504,415,83,608,506,253,480,617,116,760,320,867,648,611,713,599,520,378,581,616,929,965,376,401,619,411
I19,700,598,699,231,492,939,977,629,858,515,671,613,191,813,386,787,898,337,218,832,591,559,271,65,445,676,110,281,688,909,56,123,256,448,315,569,234,683,710,190,289,144,322,155,215,467,107,927,906,233
I18,905,319,20,586,7,256,704,37,328,860,345,823,598,266,855,826,67,7,48,951,921,863,931,936,29,802,628,634,125,160,182,18,928,108,770,617,209,815,673,905,55,18,626,736,772,785,322,961,687,32
747,557,80,454,502,841,744,185,682,3,403,863,399,976,989,923,538,276,256,793,182,571,774,356,358,582,297,365,815,921,213,442,325,658,426,12,570,396,989,491,447,779,747,199,11,487,948,386,254,122,727
727,218,419,936,658,292,209,182,105,421,616,829,364,317,461,604,463,600,812,374,977,304,361,205,665,75,402,818,348,225,649,718,233,911,644,611,533,140,341,713,177,242,434,631,616,93,800,340,685,543,267
730,95,843,862,281,348,524,819,372,228,887,886,860,518,424,789,920,330,441,88,148,562,400,959,757,83,400,902,796,728,509,951,797,703,261,609,846,676,412,596,134,911,453,485,577,740,437,672,63,544,830
I24,995,325,236,522,419,33,91,765,503,598,965,297,277,780,574,274,55,902,362,460,173,616,434,504,800,592,601,718,935,357,181,964,345,938,6,604,985,727,492,940,282,759,144,302,125,362,688,530,780,872
I23,612,619,491,424,495,514,878,265,907,857,434,958,948,657,421,725,96,131,725,202,112,210,535,890,543,89,717,964,306,515,687,537,643,331,227,413,528,546,981,62,191,121,452,79,40,615,918,673,167,132
I22,792,798,795,185,900,978,74,843,67,638,338,786,759,31,942,369,702,941,272,404,354,871,621,89,440,683,149,182,895,200,149,771,165,748,945,933,106,131,993,757,933,412,854,647,918,763,347,191,179,606
I21,771,42,871,52,328,68,451,262,30,341,203,441,291,721,647,205,87,413,499,86,496,544,716,354,292,88,871,755,245,147,82,655,503,392,257,919,631,130,694,795,240,572,274,725,479,338,283,450,594,624
196600,243,454,381,737,634,870,78,95,423,421,347,693,714,375,656,45,886,430,559,931,76,101,784,541,684,519,587,570,803,635,432,113,990,893,94,77,149,779,457,373,564,521,719,319,157,289,68,399,434,674
672,90,972,157,267,686,199,998,832,957,730,632,393,991,557,941,146,752,279,748,561,922,473,733,59,1,812,864,543,288,904,75,409,936,739,818,377,957,54,875,385,535,437,783,896,228,218,891,121,360,187
670,999,314,470,966,232,188,150,133,772,612,841,11,972,178,716,817,787,694,195,180,141,145,380,944,735,693,885,522,397,658,387,748,959,33,743,385,473,39,576,673,477,938,203,859,608,778,514,272,362,199
666,549,963,886,636,133,413,530,351,822,82,83,703,352,182,255,427,979,434,134,886,119,255,693,316,412,384,148,240,677,476,412,110,103,562,462,907,320,926,285,318,787,439,988,283,787,421,577,238,917,462
74109,619,288,152,290,949,943,201,454,12,740,547,942,541,531,564,998,475,856,333,389,509,718,711,298,324,639,77,176,752,883,710,258,2,174,345,457,276,968,608,849,70,251,377,659,146,856,741,702,224,539
70863,421,425,324,183,677,315,621,521,746,39,470,215,301,927,268,362,95,112,105,142,972,45,115,393,394,902,113,556,831,21,390,359,844,184,205,706,249,671,186,109,566,822,297,687,546,526,829,227,451,166
I28,273,509,698,436,960,305,60,406,126,640,529,98,525,218,940,678,477,960,548,889,789,641,679,14,839,484,345,254,280,649,675,590,322,925,813,373,684,709,235,424,840,449,808,400,0,462,692,820,904,818
I27,26,288,485,232,218,781,176,216,982,430,432,374,37,578,826,925,965,159,772,11,61,153,399,296,837,926,369,544,949,662,972,746,582,62,427,248,480,574,608,652,136,296,525,578,670,859,895,786,912,832
160488,192,514,338,851,410,504,770,675,703,78,554,237,815,493,107,298,770,876,670,982,749,939,349,758,834,849,382,17,470,346,507,340,198,668,683,690,453,351,84,8,181,571,829,978,841,234,701,625,399,639
323,34,473,825,395,405,37,79,532,615,495,863,224,959,6,740,189,411,226,547,476,787,85,331,808,550,108,558,436,912,40,999,75,427,784,55,240,36,844,541,991,925,926,271,529,654,553,744,452,565,844
287,332,444,39,584,811,825,453,218,963,924,342,226,950,410,986,441,290,312,733,270,676,189,877,735,762,623,190,556,413,360,591,84,894,151,655,17,847,447,102,783,270,494,503,225,277,625,463,739,495,707
I32,574,432,140,953,743,935,76,616,310,681,467,702,589,321,296,505,910,896,867,755,421,827,857,398,823,760,36,677,665,999,614,951,119,610,431,637,611,699,945,161,200,551,516,702,645,946,542,956,704,784
I30,114,493,376,712,634,70,307,336,292,252,139,15,798,112,134,694,700,544,700,20,407,369,819,120,554,59,361,495,369,567,548,40,180,170,152,754,470,145,1,652,874,220,592,217,303,677,829,753,371,617
183190,432,819,235,833,716,736,608,138,447,398,553,785,93,825,970,294,548,712,836,835,225,296,234,536,133,551,972,737,722,878,760,799,200,856,17,399,532,632,513,306,806,925,685,368,296,282,262,15,171,822
2371,988,753,576,994,78,554,719,699,754,939,606,612,7,740,52,874,513,10,261,192,682,415,880,50,0,387,431,153,232,737,585,960,152,535,555,806,195,533,942,489,445,191,819,77,654,520,914,286,3,509
I31,215,635,3,293,37,564,650,167,44,397,195,873,413,208,203,462,123,567,146,712,216,689,160,534,597,448,653,681,55,498,407,130,193,333,252,662,919,848,808,636,2,698,960,833,70,736,814,16,870,734
92829,923,131,746,223,664,352,154,391,986,761,899,41,168,21,275,57,275,0,440,355,788,312,523,979,683,218,972,887,148,926,847,807,275,415,545,704,704,978,173,953,897,260,58,187,822,290,854,337,537,1000
340,859,767,245,843,798,14,49,574,486,609,502,19,355,624,510,755,388,625,839,416,30,343,620,386,779,413,505,202,796,272,362,319,857,306,238,591,901,617,628,357,128,247,606,8,53,751,244,79,704,925
777,350,497,478,216,639,214,752,173,287,82,480,125,339,950,234,832,863,128,764,52,923,450,941,707,108,759,782,996,462,622,174,359,538,384,847,828,300,788,62,74,52,564,585,230,732,484,210,828,388,882
I41,982,65,730,489,964,879,230,337,591,365,21,661,931,329,656,115,907,104,700,64,580,634,432,491,550,170,570,489,202,993,30,122,482,924,727,855,831,491,227,215,537,496,760,42,577,916,264,229,849,94
I40,626,310,480,902,33,216,568,171,722,318,73,1000,683,222,563,479,693,441,849,340,261,657,671,104,707,323,502,617,968,430,276,896,152,540,26,580,745,841,439,852,429,379,353,18,119,617,526,252,162,861
I36,107,101,929,578,451,200,637,771,757,496,132,554,841,913,864,252,414,825,705,970,869,482,869,303,710,692,97,676,484,719,223,77,52,433,370,528,807,923,591,508,869,889,629,269,13,525,288,952,118,926
I35,485,665,781,906,150,865,665,737,763,4,524,841,603,800,909,265,119,14,609,393,461,11,402,725,846,116,311,477,464,221,609,410,565,748,439,831,172,450,270,475,998,876,772,705,370,907,938,26,603,424
65699,357,367,887,665,616,421,713,710,407,84,631,856,126,982,318,276,826,677,999,326,277,826,417,393,898,55,129,342,154,626,316,412,572,231,729,396,689,914,106,184,462,486,679,781,639,510,541,89,377,254
491,972,878,512,135,32,540,780,363,414,197,868,727,21,888,846,350,287,44,646,205,730,470,47,467,91,451,636,834,692,278,560,397,434,764,446,975,928,138,146,870,847,397,104,442,958,804,784,122,96,65
536,330,650,59,959,382,493,122,739,640,350,570,81,118,822,480,429,974,233,979,131,229,577,994,789,729,18,940,235,20,50,266,770,692,74,847,997,502,119,179,218,859,142,439,762,356,696,614,828,329,327
I39,261,929,809,798,417,917,507,777,293,13,603,11,740,823,227,707,609,478,178,656,957,897,985,569,632,922,837,488,73,850,476,670,106,317,726,101,612,816,547,867,739,724,6,950,301,117,609,157,945,502
I38,79,653,852,169,329,432,849,412,42,481,896,652,438,919,44,309,700,95,352,804,132,841,561,639,750,43,268,528,198,583,785,81,171,213,995,859,848,166,300,458,405,870,476,348,784,442,770,719,496,330
520,532,1000,298,434,296,392,623,102,141,108,537,494,345,158,235,244,810,458,62,60,127,16,837,438,650,60,217,624,862,140,460,949,422,360,401,441,356,192,198,108,304,384,694,864,404,528,107,178,396,304
I37,432,421,963,618,816,121,773,525,760,79,612,111,368,882,159,655,589,512,178,815,37,162,538,86,716,510,859,552,630,963,716,804,489,37,478,845,673,491,431,680,892,230,374,114,586,438,514,154,544,311
519,658,802,132,785,613,883,908,512,336,166,910,527,801,642,812,162,829,64,15,571,215,378,370,89,715,788,586,169,973,899,328,98,665,67,565,990,571,760,144,643,831,447,547,73,241,514,412,244,391,632
518,300,291,955,616,787,458,820,110,680,467,935,611,643,354,560,740,542,201,518,644,271,978,330,646,627,28,806,559,45,697,323,973,451,887,542,402,861,25,171,588,812,753,277,157,637,361,267,836,876,45
305,476,668,434,1,402,484,546,349,212,866,33,58,693,696,722,455,301,221,850,524,33,457,255,172,564,132,893,409,477,615,347,489,830,732,587,529,237,366,227,140,823,256,788,389,269,992,176,133,224,868
915,907,989,277,119,197,838,906,251,111,36,1,479,311,268,342,91,486,254,241,358,174,616,210,464,94,293,395,645,678,87,767,911,720,144,413,192,415,84,494,418,48,102,1,83,963,160,67,638,32,781
I53,712,167,267,204,594,149,254,521,475,689,576,209,410,994,981,605,747,509,995,39,179,99,918,737,670,166,611,756,722,797,761,355,784,878,439,65,547,519,226,936,484,332,459,131,412,794,657,248,947,466
I50,3,817,78,786,654,227,367,278,217,959,83,607,33,139,712,111,415,93,685,564,384,726,318,974,442,265,934,552,555,508,842,580,935,767,333,544,818,904,614,187,357,556,559,107,355,661,23,436,138,692
I49,287,67,205,225,128,546,908,313,729,545,290,240,499,761,591,297,665,778,914,132,76,595,850,957,934,131,418,648,441,875,251,280,172,696,992,910,512,248,772,459,105,1000,678,819,90,622,60,662,47,553
I47,170,600,907,773,868,817,531,550,847,484,229,916,781,792,329,254,105,768,470,855,252,822,510,245,627,822,433,806,673,651,168,497,735,248,804,890,1,193,926,352,753,172,662,295,749,844,836,262,820,939
I44,315,941,473,625,712,23,144,943,812,575,507,583,528,245,618,7,984,311,982,105,238,84,571,524,454,730,631,344,489,898,370,769,914,516,663,247,451,932,915,336,790,225,451,362,191,298,362,141,791,586
I43,567,941,937,529,961,744,900,934,663,992,911,962,574,515,742,790,998,400,503,224,468,764,467,170,163,356,78,915,365,441,497,642,512,101,689,348,528,858,245,231,229,978,401,261,15,468,390,474,248,230
181661,352,950,807,612,373,399,581,491,624,834,80,389,674,410,724,173,775,556,245,635,430,489,103,420,419,830,739,805,625,693,862,358,147,626,467,400,340,499,695,420,731,877,399,150,344,672,161,827,962,25
180835,920,249,326,931,293,340,853,127,169,599,271,572,687,737,500,153,636,989,18,364,781,163,847,74,437,569,332,465,455,187,459,410,944,348,721,477,260,246,397,453,124,991,63,524,338,616,745,608,678,673
382,822,82,294,771,491,215,449,748,287,751,955,990,358,290,433,527,169,660,434,494,886,820,264,439,843,0,949,522,898,520,662,374,161,516,960,320,240,126,125,111,532,690,399,351,131,665,270,5,129,88
I46,802,775,747,749,13,492,841,77,544,581,708,427,308,954,770,732,825,51,29,441,764,913,897,780,684,489,855,11,241,599,208,650,20,982,567,594,106,777,418,743,787,651,808,705,611,338,281,505,120,806
I45,147,394,528,308,989,439,936,452,218,58,724,281,174,791,817,232,681,229,913,718,947,790,955,626,794,416,201,750,783,784,597,156,149,127,438,439,395,825,925,729,168,776,395,125,885,327,576,645,770,924
29461,808,152,593,868,965,396,538,262,183,748,624,154,508,120,7,300,476,476,695,169,841,169,811,542,834,461,680,198,163,676,169,627,760,212,352,264,96,257,838,445,415,752,496,436,365,371,791,331,684,165
29459,483,992,884,163,941,370,196,279,316,713,900,779,935,649,43,282,768,264,221,457,122,411,679,930,507,416,657,185,726,386,630,689,887,418,380,611,595,56,886,282,460,737,591,178,602,427,540,282,977,528
381,865,311,296,986,334,264,478,251,488,375,530,668,444,765,44,427,973,440,1000,331,918,523,981,630,134,844,131,608,677,186,924,328,911,407,446,209,519,382,627,820,81,739,549,332,137,714,632,306,744,517
I48,658,599,389,971,899,45,55,422,361,633,11,543,761,388,70,104,915,22,776,989,629,154,470,24,399,48,795,457,358,416,723,639,281,872,306,904,436,703,128,528,195,740,566,70,627,839,10,111,579,410
1076,203,58,60,13,206,923,641,381,568,70,734,920,352,879,202,555,307,911,411,627,396,70,409,71,783,54,439,332,518,768,343,147,546,445,721,188,307,127,339,106,568,795,356,289,141,815,51,929,995,728
375,868,729,858,421,988,974,919,967,326,632,954,6,192,133,726,562,66,807,596,694,601,245,816,101,22,572,116,581,198,388,859,873,804,337,31,562,663,619,219,807,424,521,926,729,899,850,356,33,977,842
155892,842,221,20,644,905,793,738,420,295,892,776,134,354,624,500,532,253,440,254,754,761,965,300,778,98,948,166,901,491,140,643,963,963,848,376,233,440,635,326,389,580,227,47,134,157,924,779,619,565,644
I52,150,680,917,226,499,512,95,42,481,241,103,72,573,404,689,762,46,592,692,420,462,722,993,643,75,650,987,359,712,559,761,278,470,111,630,454,127,115,192,593,996,239,274,994,768,440,811,689,880,698
