DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_heatmap_60

#dataset color (can be changed later)
COLOR #ff0000

#define labels for each individual field column

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#


#Heatmaps can have an optional Newick formatted tree assigned. Its leaf IDs must exactly match the dataset FIELD_LABELS.
#The tree will be used to sort the dataset fields, and will be displayed above the dataset. It can have branch lengths defined.
#All newlines and spaces should be stripped from the tree, and COMMA cannot be used as the dataset separator if a FIELD_TREE is provided.
#FIELD_TREE (((f1,f5),(f2,f3)),(f4,f7));
FIELD_TREE (440-16843009:0.16,(((((((((590-16843009:0.55,530-16843009:0.98):0.54,490-16843009:0.11):0.25,510-16843009:0.23):0.60,(50-16843009:0.42,((420-16843009:0.43,(250-16843009:0.40,40-16843009:0.38):0.03):0.82,(220-16843009:0.06,270-16843009:0.97):0.46):0.21):0.85):0.06,180-16843009:0.10):0.82,110-16843009:0.71):0.19,(((0-1635528704-1:0.10,310-16843009:0.53):0.61,(((580-16843009:0.78,350-16843009:0.38):0.42,(500-16843009:0.97,((30-16843009:0.02,550-16843009:0.23):0.30,(((460-16843009:0.27,90-16843009:0.40):0.85,(320-16843009:0.07,(190-16843009:0.34,((170-16843009:0.97,280-16843009:0.86):0.08,((380-16843009:0.98,70-16843009:0.65):0.40,520-16843009:0.90):0.66):0.89):0.92):0.85):0.11,((370-16843009:0.60,140-16843009:0.60):0.47,(120-16843009:0.61,((80-16843009:0.40,60-16843009:0.85):0.56,300-16843009:0.77):0.46):0.42):0.18):0.95):0.24):0.41):0.46,((360-16843009:0.26,((340-16843009:0.14,400-16843009:0.57):0.67,430-16843009:0.10):0.96):0.81,(((100-16843009:0.97,130-16843009:0.21):0.69,160-16843009:0.07):0.31,(560-16843009:0.30,540-16843009:0.44):0.09):0.72):0.10):0.46):0.79,((240-16843009:0.39,((390-16843009:0.09,470-16843009:0.01):0.14,20-16843009:0.58):0.77):0.87,(260-16843009:0.88,((210-16843009:0.17,(570-16843009:0.18,150-16843009:0.64):0.23):0.36,(330-16843009:0.95,((10-16843009:0.86,(290-16843009:0.24,200-16843009:0.13):0.62):0.42,480-16843009:0.02):0.77):0.41):0.85):0.69):0.47):0.05):0.16,410-16843009:0.91):0.84,(230-16843009:0.81,450-16843009:0.59):0.63):0.09);


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN 0

#width of the individual boxes
STRIP_WIDTH 25

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL 0

#if a FIELD_TREE is present, it can be hidden by setting this option to 0
SHOW_TREE 1

#if a FIELD_TREE is present, it will have this height in pixels 
TREE_HEIGHT 1000

#define the heatmap gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN #ff0000
COLOR_MAX #0000ff

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR 1
COLOR_MID #ffff00

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
FIELD_LABELS 440-16843009 590-16843009 530-16843009 490-16843009 510-16843009 50-16843009 420-16843009 250-16843009 40-16843009 220-16843009 270-16843009 180-16843009 110-16843009 0-1635528704-1 310-16843009 580-16843009 350-16843009 500-16843009 30-16843009 550-16843009 460-16843009 90-16843009 320-16843009 190-16843009 170-16843009 280-16843009 380-16843009 70-16843009 520-16843009 370-16843009 140-16843009 120-16843009 80-16843009 60-16843009 300-16843009 360-16843009 340-16843009 400-16843009 430-16843009 100-16843009 130-16843009 160-16843009 560-16843009 540-16843009 240-16843009 390-16843009 470-16843009 20-16843009 260-16843009 210-16843009 570-16843009 150-16843009 330-16843009 10-16843009 290-16843009 200-16843009 480-16843009 410-16843009 230-16843009 450-16843009
36870 912 -785 -557 -902 -310 -852 474 461 192 -393 -362 -636 -270 -580 917 177 -889 -290 820 557 163 -412 288 594 -706 968 224 955 -996 -919 162 332 25 767 857 -294 -405 893 -213 168 -841 -558 -428 19 594 629 -162 99 523 -41 685 -476 87 -31 -503 -393 971 -686 795 188
135842 -619 -82 -392 -5 866 -917 -90 908 -861 -543 167 -883 -301 -538 944 560 -633 592 -503 -115 340 -204 76 36 -774 199 -360 124 -410 482 578 -227 881 -60 645 892 -655 275 -12 770 844 -492 -48 372 315 -375 -266 680 413 -765 -625 -606 -633 58 -477 826 198 -453 427 -12
118099 931 -89 -715 -900 169 878 641 -91 -700 510 583 904 -362 -513 293 -572 387 820 -204 955 903 -738 -455 643 852 -101 44 -243 965 126 -568 -279 351 88 728 656 766 -468 842 767 82 506 340 10 -469 -498 -9 -795 -949 -484 -16 19 591 230 870 921 687 -938 454 -912
98794 -973 -736 532 601 -414 192 993 380 -604 645 -624 -570 383 308 -924 49 -40 -326 970 -29 -315 682 337 866 623 -859 556 -845 -420 790 -271 682 -248 -115 509 52 472 -60 202 -554 407 -135 -214 248 -27 600 -18 -228 282 667 -673 590 -30 487 -190 -248 255 501 920 215
747 920 785 145 390 -854 -793 -789 283 557 -867 103 -927 707 -341 -103 917 -842 -472 -599 385 -496 -16 -819 -365 -902 709 951 -949 -995 -546 -710 -996 -164 -856 -880 111 399 -59 -43 -979 -327 985 754 787 925 -926 290 400 -893 471 353 231 123 758 206 -512 -562 628 930 -477
727 244 -7 -994 -57 593 991 -456 863 -507 819 -375 41 -963 -154 446 685 560 13 936 379 -676 -363 -415 641 771 -47 -522 -892 726 767 -92 357 280 -909 -26 -631 284 -804 -25 973 -691 45 577 -764 184 -614 -132 -40 -320 495 -246 153 221 -817 925 -417 -522 77 591 851
730 273 811 -569 40 953 -489 -856 105 -810 -228 -221 584 -905 -547 858 549 38 761 752 -440 -608 202 512 834 533 -331 -47 347 275 -932 7 -914 420 -815 -890 92 693 -714 -50 248 -132 99 494 592 -874 -636 -346 562 -892 -468 -175 -147 -498 786 -107 -216 -708 -111 600 526
196600 681 728 495 548 627 -841 -538 -675 435 985 -895 148 869 770 820 915 833 245 -101 -100 108 -707 -818 -777 -300 496 -977 -830 479 -75 922 156 -374 610 -430 901 463 918 -149 89 -431 61 -764 -188 -552 -350 100 -974 982 -204 492 592 -271 743 965 92 556 822 -291 847
672 -193 563 780 -95 1 63 -745 -168 -608 17 -24 -92 936 391 761 344 474 426 882 552 -790 734 -102 -764 709 -118 885 -222 651 844 -107 732 -560 929 -728 -522 -994 -885 -658 -778 47 -718 -11 444 -374 199 385 885 -475 -266 -936 839 204 -68 77 353 851 -392 30 -219
670 104 -899 880 770 8 -350 462 -416 -609 -82 -675 747 -890 842 -429 -705 -493 -838 -943 16 -140 360 -306 611 -445 -297 -760 732 -881 127 -339 884 -778 -702 692 -127 -80 -95 953 -328 -742 -19 -646 -289 -452 665 175 -243 -31 376 -256 -703 -552 -900 -811 -166 576 -894 -36 -789
666 -303 137 -551 -750 -549 -286 -531 -41 -183 342 -86 -635 451 3 -234 532 -122 -228 -97 635 235 -215 -45 579 849 -657 963 687 -722 -989 222 -881 507 116 -507 -381 -535 -157 751 261 998 341 -936 -421 -829 547 885 666 -262 388 416 196 535 -306 731 -554 483 -444 740 205
74109 644 -224 -710 -703 503 -995 -29 -23 332 132 -544 275 540 379 749 103 -344 -295 -385 -894 -161 -693 607 -458 -486 865 577 48 -712 -837 -501 492 -861 206 295 -624 -69 -172 -268 652 312 -843 972 563 -397 576 699 874 330 196 -972 640 -736 521 -201 -605 -450 -329 -420 373
70863 -415 -609 79 -435 -9 889 672 -479 -676 -812 448 -755 552 -112 -656 142 633 93 783 -914 -662 642 225 616 693 569 -720 -931 847 -468 551 236 -86 -199 -548 -314 98 -354 -301 790 677 -639 699 268 45 -498 1 -240 -687 -791 76 716 231 657 1000 284 -772 -615 350 534
160488 593 228 -446 -33 -294 237 563 -144 -597 -153 -364 -888 -305 -134 154 -281 789 -575 -736 -637 168 -203 -700 -632 900 859 -318 549 -949 -675 -85 923 -798 833 -713 82 -11 -641 820 -335 -357 -724 494 130 -192 765 559 623 -479 951 -101 -854 -290 516 272 -574 -528 954 225 184
323 792 124 347 -583 -794 -376 -929 -581 404 313 -340 560 574 948 313 -137 -307 378 -657 -55 -849 448 -588 -583 143 -47 655 228 -215 -304 -175 902 354 -721 171 698 609 -983 -226 949 -339 227 -804 -76 -330 -757 -238 894 -707 -779 703 314 -979 662 -854 137 701 -989 -577 -591
287 -324 785 896 385 408 -222 405 -312 441 -441 522 -51 -279 -616 423 -94 -509 -880 13 78 69 -110 -18 -784 -76 694 -630 158 388 138 -672 -746 -146 195 203 -415 -94 -440 -484 95 -619 -644 -84 974 -396 -317 380 515 -267 -450 -494 -665 -331 -940 -428 131 -815 -857 618 -472
183190 -100 -274 -788 517 939 107 614 477 -729 -269 -105 185 -616 104 -173 -605 -784 -398 564 -319 -376 -823 -305 -669 133 -578 651 -685 685 260 -163 -638 -873 76 -746 654 -635 301 -279 912 841 974 -62 -705 885 -853 -46 149 848 -396 -633 655 278 -401 254 -198 750 810 -397 521
2371 619 -947 190 449 -887 -794 697 333 -872 -202 -421 -486 -882 -152 -665 540 -512 -16 881 -306 812 -464 -266 486 -770 -122 793 -531 418 205 -554 -710 904 -101 754 -763 690 -901 -174 520 -34 615 -175 -141 -521 -519 471 -38 214 929 -868 371 -192 428 -688 -829 174 -368 868 408
92829 -831 469 -451 -83 397 540 -239 -497 896 574 -332 127 -113 664 844 425 -244 282 -528 668 -751 44 34 319 212 -240 308 128 485 -644 -42 -575 -490 807 -204 296 -848 835 -441 814 169 -184 -297 776 -336 518 616 465 -320 -914 400 -306 572 -347 897 39 -901 992 -38 -441
340 -708 -908 488 -816 751 -337 442 -899 -321 -931 466 -582 -436 -765 766 -743 -121 -876 -644 -739 -790 135 -557 -929 -455 266 -465 185 957 874 -266 -939 -139 801 -150 839 -468 -181 -227 -42 -811 -773 -50 103 369 -271 582 902 223 689 875 778 546 -995 -50 -136 268 -331 718 -993
777 4 -227 70 23 101 829 181 925 353 380 92 460 32 -796 337 640 -424 105 -187 -303 298 123 -856 998 -224 918 37 -219 -893 -36 719 -112 -162 769 -667 -169 -918 -309 -108 692 -656 777 -756 -112 196 240 -8 -151 -398 91 210 -954 997 -771 941 554 -587 -419 -715 625
65699 292 496 -975 -763 527 633 -782 -463 -319 619 392 -695 -962 965 913 374 95 -917 -801 909 -466 -829 -625 -413 125 -441 511 890 411 -759 -35 213 -157 468 -484 -478 68 271 -363 690 254 401 393 -377 -646 397 -772 301 271 -326 -585 -21 826 17 483 849 901 -8 -885 -585
491 -673 303 191 -57 41 -518 900 -615 -761 465 -906 500 421 -511 788 -459 444 556 -824 -560 801 236 81 843 -2 636 -534 694 -340 -224 -878 756 996 -670 -914 124 -562 -861 -361 -139 323 -131 147 -639 244 -207 -60 985 845 -250 -933 381 896 -874 399 -356 358 -491 -303 -854
536 -447 -469 -255 241 -430 110 -954 -283 247 -806 -515 541 -699 316 -898 698 -882 -875 -399 -58 5 428 473 890 537 -266 -168 57 -82 442 -625 -858 917 -984 -922 656 -513 577 -605 -474 167 -240 -409 -956 -200 752 -303 -859 820 -774 815 184 878 -667 672 287 -661 394 -308 864
520 187 -819 660 -340 196 825 -623 252 -306 8 94 -180 -216 -911 730 -160 517 215 -49 268 -784 383 364 631 -141 402 501 311 -457 -855 623 -857 -416 -435 -664 -643 -636 195 -594 -499 781 64 -78 -997 -612 -232 46 -452 -790 171 -254 -508 647 -4 834 -109 -754 -583 -41 953
519 362 555 -101 -275 -943 470 -997 -268 71 -584 923 173 2 -272 -431 -410 -547 -68 -193 503 -628 -180 612 967 706 838 -716 843 -803 381 -246 -693 -254 -734 -647 -137 302 -459 -519 871 198 -550 901 -158 -753 166 848 43 165 65 313 -112 -975 256 -48 -157 664 479 395 293
518 830 -482 -965 -787 -257 490 616 -805 -287 -708 -228 -370 -802 -303 475 485 -757 369 -286 -134 704 -176 -605 -677 971 -169 -838 423 200 264 -543 170 598 792 434 738 -813 -27 -697 426 319 79 -159 -314 -666 292 -143 927 290 -213 -531 -896 139 -790 -75 -990 736 -494 -746 412
305 718 266 -451 496 -311 312 -240 -142 778 -627 -871 -886 -362 -225 -522 -640 -51 578 -295 -598 44 -621 884 -47 -880 -965 -824 -491 -149 -1000 -92 -162 342 -773 872 723 -98 -38 -836 857 146 -952 986 428 740 -717 255 194 -756 581 -925 416 643 -146 922 904 -23 -546 684 -59
915 703 831 628 -582 177 -139 -395 -33 653 -761 -916 -228 -349 644 265 169 43 449 -963 524 218 443 -445 -865 918 442 -563 579 80 85 -715 237 -177 139 -290 -718 670 -173 84 517 139 -821 356 -693 431 -512 -233 161 -780 -373 490 -180 989 81 -177 -446 140 166 -347 -708
181661 -948 -737 988 400 -701 319 552 737 -543 -883 -231 139 196 618 413 -999 503 -101 -707 -26 9 86 199 -717 -15 151 -565 -492 -277 -814 202 698 79 439 -709 497 -943 -119 591 282 713 729 201 294 -429 783 41 -893 259 -818 -720 877 -745 492 223 79 969 -874 584 -207
180835 -53 410 462 546 52 872 28 -602 -487 -827 167 -710 986 -485 -436 350 -357 -398 633 853 500 741 56 250 225 793 -196 979 573 124 -843 695 48 33 313 -58 627 -687 147 697 -65 -183 55 -777 -624 200 -142 -417 -317 -701 -27 399 -141 -613 981 -692 -212 -512 -473 949
382 294 438 -999 375 97 829 -504 344 273 669 85 820 64 -899 781 925 27 737 508 -533 89 501 336 -30 -74 -113 -885 -179 978 -514 -891 -166 936 -562 -656 -248 128 -741 -779 -274 906 575 458 -129 -665 -920 -384 907 208 -635 -938 -248 -973 893 -699 -610 -309 -694 -321 -874
29461 -611 64 515 566 583 -472 -32 -952 -999 -829 -498 -441 -915 -111 -299 -410 816 -753 -564 711 -802 -500 658 805 -141 -915 104 -640 696 405 31 -435 -114 340 461 -988 -130 543 929 924 664 -811 -829 -298 -361 611 665 248 284 -158 726 130 -226 -84 -243 946 -69 91 916 -51
29459 287 -134 163 -725 -888 80 -369 -399 758 -317 -686 535 -7 -956 458 88 824 -712 277 -349 -689 610 530 82 -974 141 70 -999 450 -727 320 144 -115 -751 244 -595 -76 57 926 -413 -794 -144 -507 867 210 940 -792 -347 -63 -328 -34 383 391 -503 -940 -132 547 516 827 532
381 -447 -957 -630 310 790 680 -62 915 702 261 872 518 -974 -170 -364 -795 512 -324 -825 514 -450 -931 -965 639 -339 792 381 566 647 -678 -731 -50 -300 752 -242 -176 479 519 -218 907 116 -62 279 595 -376 218 -375 -603 314 793 -876 626 -781 -73 627 356 -484 149 233 -536
1076 -453 -188 -841 638 -453 28 469 851 43 -303 -951 990 60 -255 818 -896 642 287 -507 -761 265 -185 834 797 -105 213 644 -180 -805 -542 -795 -618 76 -821 -893 -567 -240 -431 802 -71 -889 49 -878 -575 129 -628 567 162 -906 3 44 488 -106 233 61 -742 -361 674 421 491
375 -497 -575 -400 850 -652 -992 -41 -785 73 -352 595 995 -956 -973 53 -112 -276 543 -548 -660 679 -527 -47 -240 649 -158 111 -906 489 -463 755 430 933 -762 946 -963 -130 -750 880 464 -399 -907 688 846 564 204 368 632 -258 -680 -254 -118 333 88 429 604 -270 -904 -153 178
155892 -469 -166 -791 -65 327 -43 -431 -251 -31 974 194 469 136 202 -149 -261 364 602 -926 359 658 420 258 -548 729 -493 810 -919 -787 -410 -17 -729 127 404 -230 504 556 -468 161 -105 -457 -906 -264 123 -439 -359 500 -533 -994 668 -255 -86 179 -968 -606 -827 -477 -292 -272 -434
66077 368 199 -746 213 -885 613 783 -471 -983 251 -304 -545 -950 -170 -980 955 -587 547 -699 296 -831 -43 128 556 -812 -856 -148 -722 609 -283 -641 -785 107 -96 965 189 -727 -676 -294 531 -203 386 -194 -431 368 148 801 -678 -854 -900 -934 958 -22 -150 530 -259 555 33 321 -154
782 -603 356 465 421 -247 -354 922 508 398 629 -167 -608 -302 -925 332 345 500 -266 -797 -847 -467 301 519 -261 -106 314 295 -105 -237 -471 184 268 -706 314 -520 -742 -115 -673 765 390 664 -567 -748 521 -589 -591 -186 564 -791 718 -366 692 -86 -530 353 515 -806 639 -383 53
781 754 602 -205 566 618 -439 537 125 -333 -489 -602 259 893 253 -150 -687 585 -105 -894 -82 268 176 -297 15 329 591 619 781 994 -681 -145 -546 -967 608 895 -998 -150 616 565 340 -673 -748 -843 -233 100 -680 -518 -854 -370 636 34 713 -717 121 -838 246 -158 364 726 645
85963 -385 -102 -845 260 -965 182 -758 987 -922 -1 89 -33 -893 435 169 -592 208 410 447 -521 208 -82 697 -63 -483 349 461 -748 -527 889 192 -113 265 576 -388 399 -514 -880 -235 852 392 -336 -802 236 -711 968 287 74 -679 324 -244 -683 -190 -802 588 -663 49 -45 -914 943
210 -918 -267 244 598 637 -154 -268 -567 -355 723 801 -114 882 813 712 964 -728 -155 -926 -736 318 -932 -662 735 395 -267 -85 192 555 -174 886 376 444 717 -469 378 -248 -128 -548 -923 -167 -549 951 159 741 202 -101 63 -30 -385 278 179 125 242 -598 564 613 842 -881 -2
32025 721 -914 -71 -510 941 40 -67 -212 -64 407 -371 660 965 969 -459 860 -865 697 -230 -826 757 208 645 33 -142 445 -284 -192 220 -72 958 792 -978 324 -966 -525 390 -59 144 654 998 267 723 86 371 494 951 442 344 -129 774 -684 -626 -63 208 -387 256 -709 967 -942
844 657 -446 921 -436 -70 789 -716 -615 -288 -645 -175 916 718 -657 589 -728 752 -533 -998 -875 625 115 -435 -890 -470 150 -113 -316 -838 168 684 -42 224 769 436 208 634 52 45 506 984 421 276 9 -872 242 196 317 -309 -457 -671 -118 144 -485 -931 -422 -775 822 -632 392
197 -222 -211 839 117 820 -383 880 533 781 189 -143 650 -180 69 803 126 39 -603 165 422 677 83 -813 532 973 485 109 53 -265 586 347 -406 948 -578 -370 497 604 -442 -167 554 -840 -610 696 470 996 -205 -181 -106 934 585 -103 369 -399 -781 827 133 -423 149 -981 -992
882 622 -849 -140 199 390 -43 -69 -642 717 -199 -923 -601 -333 120 -1000 -140 604 -164 174 331 925 307 191 426 305 -321 -268 197 515 808 493 -110 -733 -430 989 261 -96 685 807 698 -535 12 85 -238 582 155 -327 -501 -187 -970 272 292 321 -529 920 -840 -186 805 -991 -424
