ID	New_name	Gene_name	Substrate	Species
Seq20	1	bphA1	Biphenyl/Phenylpropionate	Pseudomonas
Seq200	8	hcaA	Phenylpropionate	Corynebacterium
Seq205	19	MAV_3509	Phthalate 	Mycobacterium
Seq226	87	nagAc	Naphthalene	Methylobrevis
Seq227	101	nagAc	Naphthalene	Mycolicibacterium
Seq228	105	nagAc	Naphthalene	Thalassobius
Seq231	86	nagAc	Naphthalene	Hartmannibacter
Seq232	100	nagAc	Naphthalene	Planktotalea
Seq233	95	nagAc	Naphthalene	Pelagicola
Seq234	96	nagAc	Naphthalene	Maliponia
Seq235	103	nagAc	Naphthalene	Palleronia
Seq236	64	nagAc	Naphthalene	Nocardia
Seq237	103	nagAc	Naphthalene	Ruegeria
Seq238	104	nagAc	Naphthalene	Ruegeria
Seq240	97	nagAc	Naphthalene	Legionella
Seq243	99	nagAc	Naphthalene	Rhodobiaceae
Seq255	38	narAa	Naphthalene 	Paraburkholderia
Seq259	32	narAa	Naphthalene 	Mycobacterium
Seq268	102	ndoB/ndoC2/nahAc/paha3	Naphthalene	Aliiroseovarius
Seq283	44	ohbB	Halobenzoate	Ralstonia
Seq284	42	ohbB	Halobenzoate	Collimonas
Seq293	18	padAa	Phthalate	Mycobacterium
Seq294	33	padAa	Phthalate	Rhodococcus
Seq30	98	bnzA	Benzene	Alcaligenes
Seq300	36	phtA	Phthalate	Microbacterium
Seq301	67	phtA	Phthalate	Burkholderia
Seq302	39	phtA	Phthalate	Streptomyces
Seq303	21	phtA	Phthalate	Mycobacterium
Seq305	35	phtA	Phthalate	Arthrobacter
Seq308	20	phtA	Phthalate	Mycobacterium
Seq318	15	phnAc	Naphthalene	Acidovorax
Seq323	41	phnA1b	Naphthalene	Cycloclasticus
Seq328	69	pobA	Phenoxybenzoate 	Pseudomonas
Seq335	65	tdnA1	Aniline	Frateuria
Seq342	43	tpaAa	Terephthalate	Pseudomonas
Seq343	51	xylX	Toluate/Benzoate 	Pseudomonas
Seq353	59	xylX	Toluate/Benzoate 	Novosphingobium
Seq354	56	xylX	Toluate/Benzoate 	Pseudoalteromonas
Seq37	49	benA	Benzoate	Acinetobacter
Seq39	47	benA	Benzoate	Paraburkholderia
Seq45	53	benA	Benzoate	Saccharopolyspora
Seq47	48	benA	Benzoate 	Cupriavidus
Seq48	54	benA	Benzoate	Gordonia
Seq5	45	ahdA1	Biphenyl	Sphingopyxis
Seq54	50	benA	Benzoate	Pseudomonas
Seq65	93	bedC1	Benzene/Toluene/Chlorobenzene	Streptomyces
Seq66	10	bedC1	Benzene/Toluene/Chlorobenzene	Nitrincola
Seq67	70	bedC1	Benzene/Toluene/Chlorobenzene	Bordetella
Seq68	40	bedC1	Benzene/Toluene/Chlorobenzene	Pseudomonas
Seq69	102	bedC1	Benzene/Toluene/Chlorobenzene	Gammaproteobacteria MOLA455
Seq70	110	bedC1	Benzene/Toluene/Chlorobenzene	Mycobacterium
Seq71	71	bedC1	Benzene/Toluene/Chlorobenzene	Gemmata
Seq73	46	bedC1	Benzene/Toluene/Chlorobenzene	Achromobacter
Seq76	72	bedC1	Benzene/Toluene/Chlorobenzene	Mycobacteroides
Seq78	90	bedC1	Benzene/Toluene/Chlorobenzene	Alphaproteobacteria MarineAlpha5
Seq79	68	cbaA	Chlorobenzoate	Bradyrhizobium
Seq8	12	ahdA1	Biphenyl	Sphingomonas
Seq80	66	cbaA	Chlorobenzoate	Marinobacter
Seq81	58	cbdA	Benzoate/Halobenzoate	Burkholderia
Seq89	55	cbdA	Benzoate/Halobenzoate	Confluentimicrobium
Seq99	62	cbdA	Benzoate/Halobenzoate	Variovorax
Seq30_tmoA	200	tmoA	Toluene-4-monooxygenase	Pseudomonas
